Start State,Algorithm,Runtime,Nodes Expanded,Search Depth
123--45--,B-IDS,0.9489,112604,26
123--45--,B-BFS,0.138,8305,15
123--45--,B-IDS,0.9528,112604,26
123--45--,B-A Star,0.0035,97,15
123--45--,B-Greedy,0.001,40,17
123--45--,B-Beam,0.002,184,17
265087431,BackTrack,3.1373,972394,24
265087431,ForCheck,26.2562,1747428,24
265087431,BackTrack,3.0498,972394,24
265087431,ForCheck,26.8309,1747428,24
123405678,Q-Learn,15.0795,157811,17
123405678,Q-Learn,12.1601,141036,15
